Category,Metric,Value
FRAME,Total_Frames,875937
FRAME,Raw_Hit_Frames,88951
EVENT,Total_Complete_Events,393493
EVENT,CRC_Match,393493
EVENT,CRC_Mismatch,0
EVENT,CRC_Match_Rate_Pct,100
EVENT,Delta_BCID_Mean,2027.45
EVENT,Delta_BCID_RMS,1208.8
EVENT,Hits_Per_Event_Mean,0.226055
EVENT,Hits_Per_Event_RMS,0.59056
EVENT,Hits_Per_Event_Count_0,320622
EVENT,Hits_Per_Event_Count_1,64505
EVENT,Hits_Per_Event_Count_2,4969
EVENT,Hits_Per_Event_Count_3,1605
EVENT,Hits_Per_Event_Count_4,734
EVENT,Hits_Per_Event_Count_5,459
EVENT,Hits_Per_Event_Count_6,241
EVENT,Hits_Per_Event_Count_7,144
EVENT,Hits_Per_Event_Count_8,95
EVENT,Hits_Per_Event_Count_9,48
EVENT,Hits_Per_Event_Count_10,24
EVENT,Hits_Per_Event_Count_11,23
EVENT,Hits_Per_Event_Count_12,11
EVENT,Hits_Per_Event_Count_13,4
EVENT,Hits_Per_Event_Count_14,1
EVENT,Hits_Per_Event_Count_15,5
EVENT,Hits_Per_Event_Count_16,1
EVENT,Hits_Per_Event_Count_17,2
STATUS,L1_Buffer_Normal_00,393493
STATUS,L1_Buffer_Half_01,0
STATUS,L1_Buffer_Overflow_10,0
STATUS,L1_Buffer_Full_11,0
STATUS,SEU_Errors_Detected,0
STATUS,Raw_Status_Code_0,393493
CHIP_ID,ID_0xcf4,393493
HIT,Expected_Total_Hits,88951
HIT,Valid_Hits,88951
HIT,Lost_Hits,0
HIT,Avg_TOA_ns,6.15071
HIT,RMS_TOA_ns,3.60869
HIT,Avg_TOT_ns,2.91946
HIT,RMS_TOT_ns,1.44106
