Category,Metric,Value
FRAME,Total_Frames,842975
FRAME,Raw_Hit_Frames,56030
EVENT,Total_Complete_Events,393452
EVENT,CRC_Match,393452
EVENT,CRC_Mismatch,0
EVENT,CRC_Match_Rate_Pct,100
EVENT,Delta_BCID_Mean,2027.45
EVENT,Delta_BCID_RMS,1208.8
EVENT,Hits_Per_Event_Mean,0.142399
EVENT,Hits_Per_Event_RMS,0.467167
EVENT,Hits_Per_Event_Count_0,347928
EVENT,Hits_Per_Event_Count_1,39201
EVENT,Hits_Per_Event_Count_2,4121
EVENT,Hits_Per_Event_Count_3,1245
EVENT,Hits_Per_Event_Count_4,484
EVENT,Hits_Per_Event_Count_5,229
EVENT,Hits_Per_Event_Count_6,109
EVENT,Hits_Per_Event_Count_7,60
EVENT,Hits_Per_Event_Count_8,35
EVENT,Hits_Per_Event_Count_9,16
EVENT,Hits_Per_Event_Count_10,8
EVENT,Hits_Per_Event_Count_11,10
EVENT,Hits_Per_Event_Count_12,2
EVENT,Hits_Per_Event_Count_13,2
EVENT,Hits_Per_Event_Count_14,1
EVENT,Hits_Per_Event_Count_16,1
STATUS,L1_Buffer_Normal_00,393452
STATUS,L1_Buffer_Half_01,0
STATUS,L1_Buffer_Overflow_10,0
STATUS,L1_Buffer_Full_11,0
STATUS,SEU_Errors_Detected,0
STATUS,Raw_Status_Code_0,393452
CHIP_ID,ID_0xcf4,393452
HIT,Expected_Total_Hits,56027
HIT,Valid_Hits,56027
HIT,Lost_Hits,0
