EventID,Row,Col,TOA_ns,TOT_ns,CAL_Code,EA_Code
49,1,6,4.982143,1.910714,175,0
49,2,6,4.900568,1.864347,176,0
49,1,5,5.049435,1.783192,177,0
49,4,5,4.389045,0.948034,178,0
57,2,6,9.410511,1.793324,176,0
91,9,6,4.102654,0.663408,179,0
91,5,2,5.127762,3.608425,181,0
91,15,2,4.975559,3.212291,179,0
96,5,6,3.107444,2.528090,178,0
195,2,4,1.458333,41.875000,30,0
201,2,1,8.888889,3.229167,180,0
263,1,6,0.799006,4.314631,176,0
264,14,4,2.566341,1.623603,179,0
273,0,3,3.584040,1.924435,177,0
292,13,0,10.666899,3.002793,179,0
465,1,2,11.920646,4.125702,178,0
465,2,2,11.592179,3.474162,179,0
465,1,1,11.793785,3.036723,177,0
474,0,5,4.687500,4.385653,176,0
476,0,6,9.626437,2.586207,174,0
482,4,5,9.691011,2.089185,178,0
587,2,5,7.954545,1.935369,176,0
613,8,4,4.301264,2.844101,178,0
613,10,0,4.247238,3.245856,181,0
719,1,7,1.811080,4.723011,176,0
733,2,0,7.326389,2.673611,180,0
804,3,4,4.870810,2.112430,179,0
805,7,4,2.199721,0.837989,179,0
805,7,1,2.847222,2.135417,180,0
838,2,7,0.047954,1.450607,782,0
853,4,6,3.196023,2.414773,176,0
853,4,5,3.531073,4.043079,177,0
853,7,4,3.125000,2.018961,178,0
881,6,6,7.751397,2.374302,179,0
881,5,5,8.795646,4.705056,178,0
881,8,5,8.065642,3.177374,179,0
885,4,7,0.049358,1.138327,1013,0
891,1,0,7.303371,1.738062,178,0
901,2,4,10.849719,1.702949,178,0
985,0,0,11.903090,1.878511,178,0
1007,2,7,10.191761,2.521307,176,0
1011,0,7,7.089286,2.535714,175,0
1048,10,7,9.078212,2.758380,179,0
1048,3,2,0.042318,1.406250,960,0
1139,1,4,9.922316,3.689972,177,0
1148,6,2,5.277778,3.315972,180,0
1148,5,1,5.528846,3.021978,182,0
1148,5,0,5.662983,3.211326,181,0
1243,15,4,0.737360,2.598315,178,0
1254,5,5,3.862360,3.265449,178,0
1269,11,4,0.702247,2.159410,178,0
1269,12,4,0.649579,2.703652,178,0
1269,8,0,0.431630,1.640193,181,0
1277,13,4,6.703911,4.277235,179,0
1277,14,4,6.706461,5.091292,178,0
1277,13,3,6.530899,3.528792,178,0
1277,14,3,6.424581,3.474162,179,0
1277,14,2,5.359637,0.942737,179,0
1304,6,7,5.266854,1.808287,178,0
1313,2,6,0.073819,2.023868,508,0
1339,7,1,3.263889,1.649306,180,0
1339,8,0,3.107830,1.322115,182,0
1387,2,7,1.189631,2.911932,176,0
1399,5,3,3.770950,3.753492,179,0
1399,11,3,3.020251,1.553771,179,0
1399,5,2,3.159530,2.313536,181,0
1399,7,1,2.900552,1.571133,181,0
1440,3,0,5.277778,2.031250,180,0
1455,1,7,12.196429,2.285714,175,0
1470,0,2,10.928672,3.072034,177,0
1471,11,5,10.381356,2.754237,177,0
1515,1,7,11.665483,4.616477,176,0
1536,0,7,0.281955,15.883459,133,0
1549,5,7,5.349576,2.259887,177,0
1570,9,5,11.867978,16.590590,178,0
1575,4,0,11.136050,2.417127,181,0
1579,6,5,6.004213,3.985253,178,0
1579,15,0,5.359637,1.937849,179,0
1616,5,4,1.171875,35.449219,32,0
1661,4,5,7.909605,2.100989,177,0
1676,4,7,5.397727,1.899858,176,0
1676,0,4,5.646307,3.338068,176,0
1698,15,6,7.848011,1.970881,176,0
1770,0,5,10.138494,2.450284,176,0
1778,2,3,10.639045,2.457865,178,0
1804,3,7,10.617898,1.544744,176,0
1854,11,4,6.075419,1.728352,179,0
1867,8,6,9.778792,2.598315,178,0
1874,7,1,9.045139,3.194444,180,0
1908,2,7,7.794744,2.947443,176,0
2088,1,5,9.180791,1.959746,177,0
2088,15,0,8.128511,4.740169,178,0
2093,1,5,1.562500,2.414773,176,0
2121,5,5,10.235253,2.738764,178,0
2177,4,7,8.806818,3.125000,176,0
2192,12,4,9.741620,1.833101,179,0
2192,5,1,9.769918,1.390797,182,0
2232,4,1,5.185440,3.588599,182,0
2252,0,2,10.323034,2.054073,178,0
2252,15,1,11.016949,2.683616,177,0
2254,3,6,10.795455,3.018466,176,0
2257,4,5,5.477528,2.054073,178,0
2278,3,6,8.806818,1.757813,176,0
2283,0,3,10.393258,2.352528,178,0
