EventID,Row,Col,TOA_ns,TOT_ns,CAL_Code,EA_Code
6,9,8,11.378676,2.941176,170,0
9,6,9,3.380848,4.184942,171,0
15,15,8,2.189371,2.507485,167,0
17,9,8,0.367647,2.683824,170,0
17,9,9,0.992647,3.621324,170,0
17,12,15,0.483631,3.236607,168,0
19,10,11,10.625000,2.224265,170,0
24,9,11,9.084302,3.343023,172,0
32,11,12,9.652367,2.366864,169,0
52,0,13,11.235119,2.752976,168,0
59,6,9,4.558824,2.830882,170,0
62,11,11,10.000000,4.742647,170,0
62,12,11,9.226190,2.715774,168,0
62,10,12,9.758772,3.965643,171,0
62,11,12,9.633876,3.901627,169,0
62,12,12,9.689349,4.234467,169,0
62,10,13,9.557749,3.929094,171,0
63,12,12,10.465976,2.773669,169,0
76,7,11,7.803363,4.824561,171,0
84,10,13,11.184211,2.521930,171,0
85,2,15,4.266467,1.777695,167,0
94,6,11,6.801471,2.794118,170,0
102,0,11,10.743343,5.695266,169,0
103,6,15,3.910819,2.339181,171,0
106,3,15,8.221726,2.901786,168,0
106,11,15,7.998512,2.287946,168,0
114,0,8,8.203125,2.827381,168,0
119,4,11,4.832849,2.906977,172,0
123,11,9,0.665680,1.830621,169,0
124,6,10,8.497807,2.174708,171,0
131,1,13,11.979167,2.678571,168,0
131,6,14,12.207602,4.002193,171,0
131,12,15,11.923363,3.422619,168,0
140,7,11,12.134503,4.550439,171,0
143,2,11,11.010174,3.015988,172,0
143,3,11,11.718750,4.487645,172,0
159,0,12,1.627219,2.773669,169,0
160,9,11,7.474415,2.174708,171,0
182,9,9,6.250000,3.051471,170,0
183,12,10,7.581361,1.645710,169,0
190,8,11,0.772059,3.088235,170,0
193,4,13,2.720588,3.272059,170,0
196,7,9,8.713235,1.378676,170,0
198,7,14,4.440789,1.736111,171,0
204,1,8,2.976190,3.385417,168,0
214,5,13,5.720029,3.106725,171,0
214,12,14,5.133929,1.841518,168,0
215,8,14,5.359738,2.470930,172,0
220,5,12,12.079678,2.485380,171,0
221,3,11,9.082602,1.699561,171,0
225,13,10,2.940089,4.271450,169,0
225,11,11,3.290441,7.536765,170,0
225,10,12,3.143382,5.000000,170,0
225,11,12,3.272929,6.305473,169,0
225,12,12,2.938988,4.296875,168,0
225,10,13,2.741228,3.855994,171,0
226,12,12,2.163462,2.921598,169,0
229,7,10,11.525735,3.382353,170,0
233,7,10,1.183432,1.201923,169,0
237,3,14,6.066176,2.977941,170,0
243,0,11,10.528274,2.827381,168,0
245,12,9,0.040236,1.217141,932,0
248,14,10,7.573529,2.830882,170,0
251,6,8,6.028107,3.069527,169,0
255,4,11,5.793129,2.101608,171,0
258,11,8,10.992647,2.720588,170,0
262,8,15,10.581140,2.521930,171,0
280,6,8,12.205882,2.463235,170,0
285,11,8,5.937500,2.297794,170,0
297,3,15,3.273810,2.027530,168,0
304,2,8,9.779412,2.757353,170,0
306,6,10,4.477339,2.339181,171,0
308,0,13,7.310268,3.273810,168,0
310,9,8,2.995562,2.274408,169,0
312,13,13,2.511161,2.901786,168,0
320,4,15,11.194853,2.683824,170,0
332,11,15,6.956845,2.901786,168,0
337,8,12,2.302632,2.595029,171,0
338,3,9,7.140262,2.543605,172,0
347,3,8,7.655325,2.440828,169,0
348,8,8,6.250000,2.536765,170,0
348,8,9,6.359649,2.339181,171,0
351,13,15,2.638473,4.098054,167,0
352,4,11,11.482558,2.507267,172,0
359,3,10,0.588235,2.977941,170,0
362,4,13,3.272059,3.382353,170,0
365,9,8,6.139053,2.237426,169,0
375,9,11,7.182018,2.923977,171,0
378,0,10,11.056287,2.814327,171,0
380,12,8,3.513314,0.924556,169,0
389,12,10,10.716912,3.198529,170,0
390,3,8,5.417899,2.311391,169,0
395,14,8,7.998512,1.581101,168,0
407,10,12,8.066860,3.760901,172,0
407,7,14,7.803363,2.138158,171,0
407,2,15,7.747006,2.582335,167,0
408,12,11,8.912722,4.049556,169,0
417,0,10,3.892544,3.399123,171,0
420,7,8,6.985294,4.172794,170,0
430,9,14,5.665205,2.302632,171,0
437,3,14,8.161765,1.378676,170,0
442,5,8,1.608728,2.699704,169,0
444,2,11,3.833576,3.343023,172,0
445,0,11,4.669118,2.941176,170,0
450,5,12,4.375000,3.841912,170,0
450,5,13,4.057018,2.284357,171,0
450,7,13,4.130117,2.302632,171,0
450,9,13,4.148392,2.595029,171,0
450,5,15,3.676471,1.378676,170,0
452,6,8,10.551471,1.415441,170,0
458,3,13,4.411765,2.904412,170,0
478,5,11,3.455882,2.610294,170,0
520,9,14,3.801170,2.375731,171,0
531,9,12,2.101608,3.216374,171,0
533,2,11,7.703488,2.943314,172,0
535,5,12,9.356725,3.143275,171,0
539,9,8,8.878676,3.014706,170,0
541,1,15,7.793675,2.522590,166,0
545,6,8,1.923077,4.530325,169,0
547,15,10,1.450893,4.724702,168,0
548,15,11,10.003698,3.254438,169,0
553,3,8,1.608728,2.274408,169,0
555,6,11,7.309942,1.334064,171,0
562,6,11,10.654240,3.033626,171,0
562,14,11,11.002219,3.790680,169,0
565,13,9,9.485294,2.352941,170,0
565,13,10,0.248344,12.810430,151,0
567,15,11,9.837278,2.958580,169,0
568,4,13,10.654240,3.782895,171,0
575,4,11,3.983918,2.412281,171,0
585,12,12,5.625000,2.463235,170,0
587,9,13,10.919331,3.015988,172,0
595,6,11,2.132353,2.904412,170,0
596,4,11,9.393275,2.997076,171,0
608,12,8,11.819853,2.040441,170,0
620,8,12,4.822977,2.962428,173,0
622,5,11,11.988304,2.521930,171,0
623,5,9,9.117647,9.485294,170,0
628,10,9,11.769006,2.887427,171,0
628,12,13,11.667899,2.514793,169,0
634,2,8,5.000000,2.536765,170,0
634,14,8,0.039267,2.346204,955,0
636,7,9,5.735294,1.525735,170,0
640,10,9,12.352941,3.308824,170,0
643,5,8,1.029412,3.878676,170,0
646,7,10,4.503676,2.224265,170,0
651,7,9,2.738971,2.150735,170,0
654,2,9,7.610294,2.536765,170,0
669,10,8,4.031065,3.439349,169,0
669,12,8,4.743304,4.222470,168,0
669,13,8,4.271450,2.699704,169,0
669,12,9,4.044118,2.573529,170,0
669,13,9,4.301471,3.621324,170,0
673,4,11,5.482456,3.819444,171,0
674,6,10,0.735294,4.283088,170,0
674,7,10,0.955882,4.503676,170,0
674,6,11,0.496324,3.014706,170,0
678,12,8,5.514706,0.220588,170,0
678,14,8,6.752232,3.552827,168,0
678,9,11,7.364766,4.477339,171,0
688,1,13,6.808036,4.668899,168,0
695,3,9,5.123547,2.834302,172,0
708,8,14,12.063953,3.015988,172,0
713,0,12,3.943452,4.296875,168,0
713,1,12,3.382353,2.830882,170,0
714,3,15,7.570685,2.101935,168,0
716,2,14,12.016369,3.199405,168,0
725,0,12,3.365385,3.864645,169,0
726,11,8,0.041482,1.320520,904,0
734,0,12,11.926775,2.884615,169,0
734,15,13,12.388393,3.497024,168,0
737,9,12,9.720203,2.543605,172,0
739,2,13,1.388889,2.174708,171,0
745,6,12,11.970029,2.448830,171,0
748,5,8,4.393382,2.941176,170,0
750,15,9,0.084943,1.931330,699,0
753,11,10,4.669118,3.547794,170,0
754,8,12,6.322674,3.270349,172,0
758,8,10,8.077485,2.558480,171,0
760,7,12,10.544591,3.326023,171,0
766,10,9,11.139706,1.488971,170,0
777,10,10,1.139706,4.393382,170,0
784,9,11,2.247807,1.443713,171,0
789,5,15,9.874260,2.237426,169,0
792,6,10,12.352941,2.224265,170,0
793,8,14,5.123547,2.325581,172,0
795,6,11,4.889706,2.757353,170,0
825,4,9,9.191176,2.187500,170,0
839,6,10,6.725146,2.668129,171,0
843,3,11,9.429506,2.507267,172,0
844,1,11,8.753655,3.252924,171,0
850,4,13,4.751462,2.960526,171,0
851,5,14,3.841912,1.672794,170,0
861,8,8,3.437500,2.261029,170,0
863,3,8,2.757353,1.746324,170,0
863,2,12,0.054035,2.431556,694,0
869,5,8,6.727941,2.683824,170,0
874,1,8,4.538690,2.790179,168,0
875,0,13,2.488772,2.769461,167,0
880,12,11,7.316176,1.966912,170,0
883,5,12,2.463235,2.720588,170,0
885,6,15,8.382353,1.966912,170,0
886,13,15,1.646707,3.368263,167,0
889,15,15,4.028614,2.447289,166,0
890,7,8,1.102941,3.125000,170,0
896,9,10,5.955882,2.187500,170,0
901,3,10,7.547515,2.777778,171,0
904,5,11,4.806287,2.448830,171,0
910,7,13,6.994913,3.724564,172,0
914,2,15,9.672619,2.641369,168,0
920,9,11,8.388158,2.448830,171,0
924,5,14,1.627219,2.588757,169,0
950,12,8,12.148669,2.995562,169,0
956,4,9,9.502924,3.709795,171,0
965,4,12,5.661765,3.125000,170,0
970,12,8,7.951183,3.032544,169,0
970,1,10,7.957849,2.688953,172,0
974,14,11,4.992604,3.328402,169,0
983,9,13,8.103198,2.797965,172,0
985,6,8,4.215976,2.995562,169,0
986,11,10,10.294118,2.830882,170,0
989,12,13,5.695266,2.773669,169,0
996,10,8,11.176471,2.683824,170,0
999,7,14,0.763081,3.942587,172,0
1000,7,8,11.316568,2.847633,169,0
1001,9,12,3.088663,1.944041,172,0
1002,9,9,4.080882,3.841912,170,0
1003,13,11,8.117604,1.756657,169,0
1007,5,15,0.477941,2.150735,170,0
1019,2,14,5.122041,1.793639,169,0
1020,11,11,8.676471,2.500000,170,0
1023,3,12,2.741228,2.247807,171,0
1024,6,15,9.430147,2.463235,170,0
1029,9,15,12.316176,0.992647,170,0
1032,6,12,9.816176,2.316176,170,0
1033,5,13,11.385234,2.704678,171,0
1036,7,8,9.080882,2.040441,170,0
1037,4,12,7.529240,2.558480,171,0
1039,4,10,10.220588,1.966912,170,0
1050,8,13,4.378634,3.506541,172,0
1054,7,10,11.672794,2.224265,170,0
1062,9,11,7.967836,2.412281,171,0
1065,12,10,1.701183,3.032544,169,0
1066,7,15,5.330882,3.621324,170,0
1069,11,11,7.279412,2.757353,170,0
1076,2,10,8.241959,2.923977,171,0
1099,3,11,5.098684,2.485380,171,0
1100,4,11,6.177326,3.234012,172,0
1110,7,10,6.139706,2.500000,170,0
1116,5,8,0.739645,3.217456,169,0
1117,13,10,3.827663,2.163462,169,0
1120,4,13,11.176471,2.426471,170,0
1130,1,14,5.078125,2.139137,168,0
1131,7,12,3.673246,1.918860,171,0
1137,9,15,2.613304,1.370614,171,0
1141,7,11,5.336257,2.887427,171,0
1142,2,9,9.265351,2.777778,171,0
