EventID,Row,Col,TOA_ns,TOT_ns,CAL_Code,EA_Code
5,11,12,12.261029,2.647059,170,0
10,1,12,8.894231,2.588757,169,0
15,8,12,6.159157,3.161337,172,0
16,6,13,1.973684,3.709795,171,0
17,3,15,6.507353,3.014706,170,0
20,6,12,6.377924,2.960526,171,0
31,10,9,5.018382,2.077206,170,0
43,10,11,8.216912,1.139706,170,0
50,10,14,10.661765,1.856618,170,0
53,0,10,10.036765,2.720588,170,0
62,0,12,1.627219,3.069527,169,0
63,3,15,11.076183,3.605769,169,0
70,0,9,7.322485,3.642751,169,0
71,12,11,11.029412,3.952206,170,0
71,14,11,10.565476,1.878720,168,0
72,15,8,5.152530,2.790179,168,0
86,3,11,8.938953,3.161337,172,0
88,8,14,10.483285,2.652616,172,0
98,10,11,7.794118,2.224265,170,0
113,5,11,10.635965,2.339181,171,0
118,4,10,0.383772,3.070175,171,0
120,10,10,10.233918,2.375731,171,0
123,12,9,1.341912,3.419118,170,0
126,9,10,1.507353,3.125000,170,0
132,9,14,1.754386,2.375731,171,0
139,2,8,11.187130,2.163462,169,0
139,4,8,11.544118,3.455882,170,0
139,8,8,11.617647,3.547794,170,0
139,4,9,11.544118,2.757353,170,0
143,5,9,9.904971,3.216374,171,0
146,12,13,11.654412,3.014706,170,0
147,15,10,6.882440,2.213542,168,0
149,12,11,11.360294,1.562500,170,0
150,6,13,11.513158,2.850877,171,0
155,4,10,12.134503,3.782895,171,0
165,4,10,1.644737,2.521930,171,0
172,1,14,7.700893,2.343750,168,0
178,11,12,9.577206,2.683824,170,0
181,6,15,0.064767,2.509715,579,0
181,7,15,3.455882,4.577206,170,0
182,6,9,11.732456,3.490497,171,0
187,11,10,10.551471,2.040441,170,0
191,5,11,11.586257,2.668129,171,0
192,5,9,6.727941,2.757353,170,0
195,7,8,3.938609,4.456361,169,0
195,7,9,3.988971,4.393382,170,0
196,1,10,3.563596,3.819444,171,0
199,9,13,0.101626,2.769309,492,0
205,13,8,3.459821,3.664435,168,0
205,14,8,3.292411,3.627232,168,0
208,3,10,12.134503,9.247076,171,0
213,0,15,11.859940,3.859187,166,0
213,1,15,11.219880,1.713102,166,0
220,8,12,0.908430,6.231831,172,0
221,3,10,7.730263,3.033626,171,0
222,9,14,1.626462,2.631579,171,0
231,4,14,7.536765,4.393382,170,0
231,4,15,7.720588,5.183824,170,0
239,6,8,2.903107,3.143491,169,0
240,7,11,6.250000,1.856618,170,0
247,13,8,10.743343,2.015533,169,0
252,10,11,2.481618,1.599265,170,0
259,6,8,2.665441,2.150735,170,0
261,4,8,8.487426,3.180473,169,0
