EventID,Row,Col,TOA_ns,TOT_ns,CAL_Code,EA_Code
16,5,4,9.878472,2.638889,180,0
18,0,6,8.416193,4.350142,176,0
18,6,3,8.489583,3.628472,180,0
18,7,3,9.062500,5.746528,180,0
18,6,2,8.619505,4.464286,182,0
18,7,2,8.097376,2.123619,181,0
21,10,4,1.215278,2.534722,180,0
27,10,4,2.409218,3.212291,179,0
33,0,6,7.368608,1.438210,176,0
47,10,7,10.317737,4.434358,179,0
51,11,7,6.460674,1.913624,178,0
64,6,7,10.955056,2.018961,178,0
65,8,1,9.958791,1.528159,182,0
71,10,7,3.862360,1.843399,178,0
75,8,7,5.451389,2.638889,180,0
82,11,4,10.928771,4.713687,179,0
97,0,7,9.982143,2.321429,175,0
104,9,7,0.386236,4.160815,178,0
111,11,1,6.250000,1.837225,182,0
116,3,1,3.055556,3.663194,180,0
118,7,7,0.491573,1.983848,178,0
121,7,7,5.653090,1.878511,178,0
145,12,6,11.393961,2.984551,178,0
150,1,2,6.075419,3.002793,179,0
151,4,6,4.484463,4.290254,177,0
167,0,5,5.859375,3.462358,176,0
173,15,3,9.759078,2.932961,179,0
195,15,6,10.628531,2.259887,177,0
203,2,7,3.657670,4.066051,176,0
204,2,7,7.776989,4.350142,176,0
208,14,7,3.742938,2.966102,177,0
213,2,0,7.118056,2.291667,180,0
217,14,6,7.373596,2.879213,178,0
224,9,2,4.790522,2.472527,182,0
225,5,5,0.349162,5.638966,179,0
227,1,1,5.108848,2.212079,178,0
235,5,2,10.267857,3.228022,182,0
237,5,7,8.760534,2.949438,178,0
239,10,1,9.910221,2.486188,181,0
249,7,5,6.666667,3.559028,180,0
255,6,7,2.985335,2.548883,179,0
258,3,7,8.700284,2.698864,176,0
263,1,6,5.714286,2.500000,175,0
268,6,6,9.131944,1.128472,180,0
285,11,5,12.394663,4.055478,178,0
285,12,5,12.290503,4.242318,179,0
285,11,4,11.941341,2.688547,179,0
291,1,4,4.073034,1.808287,178,0
306,10,7,1.030028,2.793296,179,0
313,13,3,0.646552,19.989224,58,0
318,4,7,8.813202,3.388343,178,0
363,4,7,3.195621,3.689972,177,0
374,5,0,7.795330,1.940247,182,0
381,15,7,1.651278,2.592330,176,0
385,0,2,2.071629,2.563202,178,0
389,10,4,4.444444,1.892361,180,0
394,5,5,7.689607,3.879916,178,0
409,14,6,12.148876,2.738764,178,0
448,10,6,4.486732,2.863128,179,0
451,2,7,5.685028,2.401130,177,0
458,8,7,5.277778,2.777778,180,0
474,5,1,8.247951,2.493169,183,0
498,1,4,5.196629,3.669242,178,0
499,0,3,10.656601,2.773876,178,0
515,3,6,8.933616,2.824859,177,0
547,7,6,11.736111,3.020833,180,0
557,8,7,3.107542,1.623603,179,0
564,10,2,0.535221,1.294890,181,0
576,4,5,4.599719,5.705758,178,0
597,8,5,4.427083,3.350694,180,0
599,0,2,3.335674,2.984551,178,0
602,6,6,2.880587,2.688547,179,0
605,6,3,5.746528,2.361111,180,0
606,6,0,0.915055,2.244475,181,0
615,10,0,2.867445,2.850275,182,0
633,10,6,12.115922,3.928073,179,0
639,6,6,5.673883,3.037709,179,0
647,12,6,1.800847,1.712571,177,0
648,6,6,0.054697,1.458576,857,0
651,11,4,1.736111,1.545139,180,0
653,12,6,2.106742,0.877809,178,0
660,2,4,2.141854,2.054073,178,0
666,9,6,3.370787,3.985253,178,0
695,6,6,6.302374,2.828212,179,0
